记录ID,时间,地点,类型,数值,阈值,是否超阈值,严重程度
RK0092,2024-04-17 07:38,金霞物流园周边,货运车辆超速,91.33,90.0,1,中
RK0093,2024-04-18 11:56,金霞物流园周边,货运车辆偏离路线,6.95,5.0,1,高
RK0094,2024-04-19 16:14,霞凝港水域,船舶违规锚泊,2.46,3.0,0,低
RK0095,2024-04-20 20:32,霞凝港水域,船舶超载,7.5,10.0,0,低
RK0096,2024-04-22 00:51,长沙县,投诉处罚超阈值,365.44,500.0,0,低
RK0097,2024-04-23 05:09,绕城高速,货运车辆偏离路线,3.44,5.0,0,低
RK0098,2024-04-24 09:27,岳麓区,投诉处罚超阈值,544.75,500.0,1,中
RK0099,2024-04-25 13:45,湘江长沙段,船舶违规锚泊,4.06,3.0,1,高
RK0100,2024-04-26 18:04,京港澳高速,货运车辆疲劳驾驶,3.07,4.0,0,低
RK0101,2024-04-27 22:22,铜官港水域,船舶违规锚泊,1.77,3.0,0,低
RK0102,2024-04-29 02:40,湘江长沙段,船舶AIS关闭,0.86,2.0,0,低
RK0103,2024-04-30 06:58,浏阳河航道,船舶AIS关闭,2.25,2.0,1,中
RK0104,2024-05-01 11:16,浏阳河航道,船舶AIS关闭,2.68,2.0,1,高
RK0105,2024-05-02 15:35,浏阳河航道,船舶AIS关闭,2.69,2.0,1,高
RK0106,2024-05-03 19:53,绕城高速,货运车辆超速,31.39,90.0,0,低
RK0107,2024-05-05 00:11,霞凝港水域,船舶超载,10.41,10.0,1,中
RK0108,2024-05-06 04:29,霞凝港水域,船舶超载,4.61,10.0,0,低
RK0109,2024-05-07 08:48,长韶娄高速,货运车辆疲劳驾驶,4.08,4.0,1,中
RK0110,2024-05-08 13:06,金霞物流园周边,货运车辆偏离路线,5.11,5.0,1,中
RK0111,2024-05-09 17:24,霞凝港水域,船舶超载,13.44,10.0,1,高
RK0112,2024-05-10 21:42,霞凝港水域,船舶超载,7.99,10.0,0,低
RK0113,2024-05-12 02:00,望城区,投诉处罚超阈值,733.75,500.0,1,高
RK0114,2024-05-13 06:19,长沙县,投诉处罚超阈值,847.87,500.0,1,严重
RK0115,2024-05-14 10:37,开福区,投诉处罚超阈值,305.55,500.0,0,低
RK0116,2024-05-15 14:55,岳麓区,投诉处罚超阈值,383.26,500.0,0,低
RK0117,2024-05-16 19:13,湘江长沙段,船舶AIS关闭,1.74,2.0,0,低
RK0118,2024-05-17 23:32,湘江长沙段,船舶AIS关闭,1.58,2.0,0,低
RK0119,2024-05-19 03:50,望城区,投诉处罚超阈值,460.6,500.0,0,低
RK0120,2024-05-20 08:08,绕城高速,货运车辆超速,80.77,90.0,0,低
RK0121,2024-05-21 12:26,湘江长沙段,船舶违规锚泊,5.21,3.0,1,严重
RK0122,2024-05-22 16:44,国道319长沙段,货运车辆疲劳驾驶,2.19,4.0,0,低
RK0123,2024-05-23 21:03,湘江长沙段,船舶AIS关闭,3.11,2.0,1,严重
RK0124,2024-05-25 01:21,金霞物流园周边,货运车辆超速,29.51,90.0,0,低
RK0125,2024-05-26 05:39,长韶娄高速,货运车辆疲劳驾驶,1.61,4.0,0,低
RK0126,2024-05-27 09:57,长韶娄高速,货运车辆疲劳驾驶,1.29,4.0,0,低
RK0127,2024-05-28 14:16,浏阳河航道,船舶AIS关闭,0.84,2.0,0,低
RK0128,2024-05-29 18:34,霞凝港水域,船舶超载,8.38,10.0,0,低
RK0129,2024-05-30 22:52,霞凝港水域,船舶违规锚泊,1.39,3.0,0,低
RK0130,2024-06-01 03:10,京港澳高速长沙段,货运车辆超速,59.02,90.0,0,低
RK0131,2024-06-02 07:28,岳麓区,投诉处罚超阈值,467.18,500.0,0,低
RK0132,2024-06-03 11:47,浏阳河航道,船舶AIS关闭,2.26,2.0,1,中
RK0133,2024-06-04 16:05,长张高速,货运车辆超速,122.18,90.0,1,高
RK0134,2024-06-05 20:23,绕城高速,货运车辆偏离路线,6.73,5.0,1,高
RK0135,2024-06-07 00:41,长韶娄高速,货运车辆疲劳驾驶,3.49,4.0,0,低
RK0136,2024-06-08 05:00,长韶娄高速,货运车辆疲劳驾驶,2.27,4.0,0,低
RK0137,2024-06-09 09:18,浏阳河航道,船舶超载,11.08,10.0,1,中
RK0138,2024-06-10 13:36,长韶娄高速,货运车辆疲劳驾驶,1.36,4.0,0,低
RK0139,2024-06-11 17:54,京港澳高速,货运车辆疲劳驾驶,4.05,4.0,1,中
RK0140,2024-06-12 22:12,霞凝港水域,船舶违规锚泊,3.07,3.0,1,中
RK0141,2024-06-14 02:31,金霞物流园周边,货运车辆超速,41.32,90.0,0,低
RK0142,2024-06-15 06:49,京港澳高速长沙段,货运车辆超速,154.48,90.0,1,严重
RK0143,2024-06-16 11:07,浏阳河航道,船舶超载,5.15,10.0,0,低
RK0144,2024-06-17 15:25,长张高速,货运车辆偏离路线,6.47,5.0,1,高
RK0145,2024-06-18 19:44,浏阳河航道,船舶AIS关闭,3.42,2.0,1,严重
RK0146,2024-06-20 00:02,绕城高速,货运车辆偏离路线,3.7,5.0,0,低
RK0147,2024-06-21 04:20,铜官港水域,船舶违规锚泊,1.17,3.0,0,低
RK0148,2024-06-22 08:38,湘江长沙段,船舶AIS关闭,0.72,2.0,0,低
RK0149,2024-06-23 12:56,京港澳高速长沙段,货运车辆超速,61.05,90.0,0,低
RK0150,2024-06-24 17:15,开福区,投诉处罚超阈值,687.93,500.0,1,高
RK0151,2024-06-25 21:33,霞凝港水域,船舶违规锚泊,1.92,3.0,0,低
RK0152,2024-06-27 01:51,湘江长沙段,船舶超载,13.16,10.0,1,高
RK0153,2024-06-28 06:09,长韶娄高速,货运车辆疲劳驾驶,3.79,4.0,0,低
RK0154,2024-06-29 10:28,金霞物流园周边,货运车辆超速,154.77,90.0,1,严重
RK0155,2024-06-30 14:46,长沙县,投诉处罚超阈值,190.91,500.0,0,低
RK0156,2024-07-01 19:04,霞凝港水域,船舶超载,5.7,10.0,0,低
RK0157,2024-07-02 23:22,金霞物流园周边,货运车辆超速,36.26,90.0,0,低
RK0158,2024-07-04 03:41,金霞物流园周边,货运车辆超速,39.58,90.0,0,低
RK0159,2024-07-05 07:59,国道319长沙段,货运车辆疲劳驾驶,3.75,4.0,0,低
RK0160,2024-07-06 12:17,国道319长沙段,货运车辆疲劳驾驶,4.8,4.0,1,高
RK0161,2024-07-07 16:35,长张高速,货运车辆偏离路线,2.97,5.0,0,低
RK0162,2024-07-08 20:53,京港澳高速长沙段,货运车辆超速,75.14,90.0,0,低
RK0163,2024-07-10 01:12,金霞物流园周边,货运车辆偏离路线,3.54,5.0,0,低
RK0164,2024-07-11 05:30,开福区,投诉处罚超阈值,869.24,500.0,1,严重
RK0165,2024-07-12 09:48,长张高速,货运车辆偏离路线,3.83,5.0,0,低
RK0166,2024-07-13 14:06,湘江长沙段,船舶AIS关闭,2.21,2.0,1,中
RK0167,2024-07-14 18:25,金霞物流园周边,货运车辆偏离路线,1.66,5.0,0,低
RK0168,2024-07-15 22:43,铜官港水域,船舶违规锚泊,0.95,3.0,0,低
RK0169,2024-07-17 03:01,绕城高速,货运车辆超速,59.6,90.0,0,低
RK0170,2024-07-18 07:19,京港澳高速长沙段,货运车辆超速,121.22,90.0,1,高
RK0171,2024-07-19 11:37,浏阳河航道,船舶AIS关闭,0.98,2.0,0,低
RK0172,2024-07-20 15:56,湘江长沙段,船舶超载,9.74,10.0,0,低
RK0173,2024-07-21 20:14,岳麓区,投诉处罚超阈值,371.18,500.0,0,低
RK0174,2024-07-23 00:32,浏阳河航道,船舶超载,4.3,10.0,0,低
RK0175,2024-07-24 04:50,绕城高速,货运车辆偏离路线,1.94,5.0,0,低
RK0176,2024-07-25 09:09,长韶娄高速,货运车辆疲劳驾驶,2.64,4.0,0,低
RK0177,2024-07-26 13:27,长沙县,投诉处罚超阈值,652.82,500.0,1,高
RK0178,2024-07-27 17:45,长张高速,货运车辆偏离路线,2.31,5.0,0,低
RK0179,2024-07-28 22:03,铜官港水域,船舶违规锚泊,2.43,3.0,0,低
RK0180,2024-07-30 02:21,霞凝港水域,船舶违规锚泊,3.08,3.0,1,中
RK0181,2024-07-31 06:40,湘江长沙段,船舶超载,7.91,10.0,0,低
RK0182,2024-08-01 10:58,长韶娄高速,货运车辆疲劳驾驶,6.56,4.0,1,严重
RK0183,2024-08-02 15:16,长韶娄高速,货运车辆疲劳驾驶,1.32,4.0,0,低
RK0184,2024-08-03 19:34,长韶娄高速,货运车辆疲劳驾驶,1.31,4.0,0,低
RK0185,2024-08-04 23:53,霞凝港水域,船舶超载,4.85,10.0,0,低
RK0186,2024-08-06 04:11,京港澳高速,货运车辆疲劳驾驶,1.86,4.0,0,低
RK0187,2024-08-07 08:29,湘江长沙段,船舶AIS关闭,2.03,2.0,1,中
RK0188,2024-08-08 12:47,京港澳高速长沙段,货运车辆超速,48.06,90.0,0,低
RK0189,2024-08-09 17:05,长张高速,货运车辆偏离路线,8.58,5.0,1,严重
RK0190,2024-08-10 21:24,绕城高速,货运车辆偏离路线,1.87,5.0,0,低
RK0191,2024-08-12 01:42,浏阳河航道,船舶AIS关闭,0.93,2.0,0,低
RK0192,2024-08-13 06:00,霞凝港水域,船舶超载,7.7,10.0,0,低
RK0193,2024-08-14 10:18,湘江长沙段,船舶超载,9.35,10.0,0,低
RK0194,2024-08-15 14:37,霞凝港水域,船舶超载,6.96,10.0,0,低
RK0195,2024-08-16 18:55,绕城高速,货运车辆偏离路线,4.0,5.0,0,低
RK0196,2024-08-17 23:13,铜官港水域,船舶违规锚泊,5.31,3.0,1,严重
RK0197,2024-08-19 03:31,铜官港水域,船舶违规锚泊,3.07,3.0,1,中
RK0198,2024-08-20 07:49,浏阳河航道,船舶超载,15.26,10.0,1,严重
RK0199,2024-08-21 12:08,湘江长沙段,船舶AIS关闭,3.32,2.0,1,严重
RK0200,2024-08-22 16:26,望城区,投诉处罚超阈值,380.19,500.0,0,低
RK0201,2024-08-23 20:44,湘江长沙段,船舶AIS关闭,2.8,2.0,1,高
RK0202,2024-08-25 01:02,长沙县,投诉处罚超阈值,269.78,500.0,0,低
RK0203,2024-08-26 05:21,长张高速,货运车辆超速,115.27,90.0,1,高
RK0204,2024-08-27 09:39,霞凝港水域,船舶超载,17.94,10.0,1,严重
RK0205,2024-08-28 13:57,金霞物流园周边,货运车辆偏离路线,3.88,5.0,0,低
RK0206,2024-08-29 18:15,金霞物流园周边,货运车辆偏离路线,6.86,5.0,1,高
RK0207,2024-08-30 22:33,湘江长沙段,船舶AIS关闭,1.18,2.0,0,低
RK0208,2024-09-01 02:52,绕城高速,货运车辆偏离路线,6.6,5.0,1,高
RK0209,2024-09-02 07:10,绕城高速,货运车辆偏离路线,5.02,5.0,1,中
RK0210,2024-09-03 11:28,浏阳河航道,船舶AIS关闭,0.99,2.0,0,低
RK0211,2024-09-04 15:46,京港澳高速,货运车辆疲劳驾驶,3.62,4.0,0,低
RK0212,2024-09-05 20:05,开福区,投诉处罚超阈值,244.24,500.0,0,低
RK0213,2024-09-07 00:23,绕城高速,货运车辆超速,88.58,90.0,0,低
RK0214,2024-09-08 04:41,浏阳河航道,船舶超载,3.13,10.0,0,低
RK0215,2024-09-09 08:59,长张高速,货运车辆偏离路线,6.04,5.0,1,高
RK0216,2024-09-10 13:17,长沙县,投诉处罚超阈值,522.26,500.0,1,中
RK0217,2024-09-11 17:36,望城区,投诉处罚超阈值,403.75,500.0,0,低
RK0218,2024-09-12 21:54,金霞物流园周边,货运车辆超速,51.95,90.0,0,低
RK0219,2024-09-14 02:12,京港澳高速长沙段,货运车辆超速,154.57,90.0,1,严重
RK0220,2024-09-15 06:30,长张高速,货运车辆超速,75.61,90.0,0,低
RK0221,2024-09-16 10:49,岳麓区,投诉处罚超阈值,352.19,500.0,0,低
RK0222,2024-09-17 15:07,湘江长沙段,船舶超载,16.69,10.0,1,严重
RK0223,2024-09-18 19:25,浏阳河航道,船舶AIS关闭,2.59,2.0,1,高
RK0224,2024-09-19 23:43,岳麓区,投诉处罚超阈值,379.8,500.0,0,低
RK0225,2024-09-21 04:01,湘江长沙段,船舶违规锚泊,4.25,3.0,1,高
RK0226,2024-09-22 08:20,浏阳河航道,船舶超载,7.69,10.0,0,低
RK0227,2024-09-23 12:38,霞凝港水域,船舶违规锚泊,4.7,3.0,1,严重
RK0228,2024-09-24 16:56,长张高速,货运车辆偏离路线,6.9,5.0,1,高
RK0229,2024-09-25 21:14,望城区,投诉处罚超阈值,216.34,500.0,0,低
RK0230,2024-09-27 01:33,长张高速,货运车辆偏离路线,1.78,5.0,0,低
RK0231,2024-09-28 05:51,长张高速,货运车辆超速,29.94,90.0,0,低
RK0232,2024-09-29 10:09,浏阳河航道,船舶AIS关闭,1.45,2.0,0,低
RK0233,2024-09-30 14:27,开福区,投诉处罚超阈值,508.87,500.0,1,中
RK0234,2024-10-01 18:45,浏阳河航道,船舶超载,14.66,10.0,1,高
RK0235,2024-10-02 23:04,长沙县,投诉处罚超阈值,164.72,500.0,0,低
RK0236,2024-10-04 03:22,岳麓区,投诉处罚超阈值,407.11,500.0,0,低
RK0237,2024-10-05 07:40,岳麓区,投诉处罚超阈值,497.63,500.0,0,低
RK0238,2024-10-06 11:58,京港澳高速,货运车辆疲劳驾驶,5.66,4.0,1,高
RK0239,2024-10-07 16:17,浏阳河航道,船舶AIS关闭,0.62,2.0,0,低
RK0240,2024-10-08 20:35,绕城高速,货运车辆超速,156.83,90.0,1,严重
RK0241,2024-10-10 00:53,湘江长沙段,船舶违规锚泊,2.39,3.0,0,低
RK0242,2024-10-11 05:11,长沙县,投诉处罚超阈值,732.13,500.0,1,高
RK0243,2024-10-12 09:29,国道319长沙段,货运车辆疲劳驾驶,3.28,4.0,0,低
RK0244,2024-10-13 13:48,浏阳河航道,船舶AIS关闭,2.02,2.0,1,中
RK0245,2024-10-14 18:06,湘江长沙段,船舶超载,10.43,10.0,1,中
RK0246,2024-10-15 22:24,金霞物流园周边,货运车辆偏离路线,3.25,5.0,0,低
RK0247,2024-10-17 02:42,绕城高速,货运车辆偏离路线,7.92,5.0,1,严重
RK0248,2024-10-18 07:01,湘江长沙段,船舶违规锚泊,3.04,3.0,1,中
RK0249,2024-10-19 11:19,长韶娄高速,货运车辆疲劳驾驶,2.3,4.0,0,低
RK0250,2024-10-20 15:37,开福区,投诉处罚超阈值,504.47,500.0,1,中
RK0251,2024-10-21 19:55,京港澳高速长沙段,货运车辆超速,50.51,90.0,0,低
RK0252,2024-10-23 00:13,京港澳高速,货运车辆疲劳驾驶,2.05,4.0,0,低
RK0253,2024-10-24 04:32,湘江长沙段,船舶违规锚泊,3.46,3.0,1,中
RK0254,2024-10-25 08:50,金霞物流园周边,货运车辆偏离路线,3.51,5.0,0,低
RK0255,2024-10-26 13:08,霞凝港水域,船舶超载,18.0,10.0,1,严重
RK0256,2024-10-27 17:26,湘江长沙段,船舶超载,14.83,10.0,1,高
RK0257,2024-10-28 21:45,长张高速,货运车辆超速,93.54,90.0,1,中
RK0258,2024-10-30 02:03,霞凝港水域,船舶违规锚泊,1.1,3.0,0,低
RK0259,2024-10-31 06:21,京港澳高速长沙段,货运车辆超速,39.74,90.0,0,低
RK0260,2024-11-01 10:39,霞凝港水域,船舶超载,9.72,10.0,0,低
RK0261,2024-11-02 14:57,长张高速,货运车辆超速,51.27,90.0,0,低
RK0262,2024-11-03 19:16,湘江长沙段,船舶AIS关闭,1.24,2.0,0,低
RK0263,2024-11-04 23:34,湘江长沙段,船舶超载,9.55,10.0,0,低
RK0264,2024-11-06 03:52,望城区,投诉处罚超阈值,513.8,500.0,1,中
RK0265,2024-11-07 08:10,湘江长沙段,船舶AIS关闭,1.48,2.0,0,低
RK0266,2024-11-08 12:29,霞凝港水域,船舶违规锚泊,2.69,3.0,0,低
RK0267,2024-11-09 16:47,浏阳河航道,船舶AIS关闭,3.46,2.0,1,严重
RK0268,2024-11-10 21:05,京港澳高速长沙段,货运车辆超速,85.6,90.0,0,低
RK0269,2024-11-12 01:23,湘江长沙段,船舶AIS关闭,2.3,2.0,1,中
RK0270,2024-11-13 05:41,铜官港水域,船舶违规锚泊,2.43,3.0,0,低
RK0271,2024-11-14 10:00,开福区,投诉处罚超阈值,732.22,500.0,1,高
RK0272,2024-11-15 14:18,金霞物流园周边,货运车辆偏离路线,3.58,5.0,0,低
RK0273,2024-11-16 18:36,浏阳河航道,船舶AIS关闭,3.16,2.0,1,严重
RK0274,2024-11-17 22:54,铜官港水域,船舶违规锚泊,2.26,3.0,0,低
RK0275,2024-11-19 03:13,长张高速,货运车辆超速,98.58,90.0,1,中
RK0276,2024-11-20 07:31,金霞物流园周边,货运车辆超速,142.8,90.0,1,严重
RK0277,2024-11-21 11:49,霞凝港水域,船舶违规锚泊,3.08,3.0,1,中
RK0278,2024-11-22 16:07,岳麓区,投诉处罚超阈值,768.19,500.0,1,严重
RK0279,2024-11-23 20:25,金霞物流园周边,货运车辆超速,75.22,90.0,0,低
RK0280,2024-11-25 00:44,湘江长沙段,船舶AIS关闭,1.8,2.0,0,低
RK0281,2024-11-26 05:02,长张高速,货运车辆超速,152.65,90.0,1,严重
RK0282,2024-11-27 09:20,开福区,投诉处罚超阈值,189.13,500.0,0,低
RK0283,2024-11-28 13:38,湘江长沙段,船舶AIS关闭,2.89,2.0,1,高
RK0284,2024-11-29 17:57,浏阳河航道,船舶超载,16.69,10.0,1,严重
RK0285,2024-11-30 22:15,浏阳河航道,船舶AIS关闭,1.09,2.0,0,低
RK0286,2024-12-02 02:33,长沙县,投诉处罚超阈值,565.11,500.0,1,中
RK0287,2024-12-03 06:51,长张高速,货运车辆偏离路线,3.01,5.0,0,低
RK0288,2024-12-04 11:09,京港澳高速,货运车辆疲劳驾驶,4.47,4.0,1,中
RK0289,2024-12-05 15:28,国道319长沙段,货运车辆疲劳驾驶,2.99,4.0,0,低
RK0290,2024-12-06 19:46,京港澳高速,货运车辆疲劳驾驶,5.14,4.0,1,高
RK0291,2024-12-08 00:04,绕城高速,货运车辆超速,82.39,90.0,0,低
RK0292,2024-12-09 04:22,长沙县,投诉处罚超阈值,679.57,500.0,1,高
RK0293,2024-12-10 08:41,铜官港水域,船舶违规锚泊,2.83,3.0,0,低
RK0294,2024-12-11 12:59,湘江长沙段,船舶违规锚泊,4.26,3.0,1,高
RK0295,2024-12-12 17:17,金霞物流园周边,货运车辆偏离路线,4.2,5.0,0,低
RK0296,2024-12-13 21:35,开福区,投诉处罚超阈值,606.41,500.0,1,高
RK0297,2024-12-15 01:53,霞凝港水域,船舶超载,8.61,10.0,0,低
RK0298,2024-12-16 06:12,霞凝港水域,船舶超载,9.87,10.0,0,低
RK0299,2024-12-17 10:30,金霞物流园周边,货运车辆偏离路线,3.68,5.0,0,低
RK0300,2024-12-18 14:48,绕城高速,货运车辆偏离路线,5.21,5.0,1,中
RK0301,2024-12-19 19:06,金霞物流园周边,货运车辆偏离路线,1.82,5.0,0,低
RK0302,2024-12-20 23:25,国道319长沙段,货运车辆疲劳驾驶,6.61,4.0,1,严重
RK0303,2024-12-22 03:43,湘江长沙段,船舶超载,5.22,10.0,0,低
RK0304,2024-12-23 08:01,开福区,投诉处罚超阈值,358.21,500.0,0,低
RK0305,2024-12-24 12:19,开福区,投诉处罚超阈值,255.31,500.0,0,低
RK0306,2024-12-25 16:37,国道319长沙段,货运车辆疲劳驾驶,2.84,4.0,0,低
RK0307,2024-12-26 20:56,金霞物流园周边,货运车辆偏离路线,4.56,5.0,0,低
